"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to perform a CRUD operation of the application","I authorize to the application","SUCCESS","2022-06-21T17:56:37.420+01:00[Europe/London]","0.0","15.99"
"As a user I would like to perform a CRUD operation of the application","I create a booking on the application","SUCCESS","2022-06-21T17:56:56.978+01:00[Europe/London]","0.0","1.35"
"As a user I would like to perform a CRUD operation of the application","I read a newly created booking from the application","SUCCESS","2022-06-21T17:56:58.501+01:00[Europe/London]","0.0","0.77"
"As a user I would like to perform a CRUD operation of the application","I update a newly created booking from the application","SUCCESS","2022-06-21T17:56:59.402+01:00[Europe/London]","0.0","0.69"
"As a user I would like to perform a CRUD operation of the application","I delete a newly created booking from the application","SUCCESS","2022-06-21T17:57:00.425+01:00[Europe/London]","0.0","1.13"
